,Eventdata
106,"[[[14.0, 0.29215352329194705, 0.04004106598960408, 1.0, 29, 0.2213482832677879, 0.009765364396757622], 0], [], [[14.0, 0.45569190580198515, 0.08177972410177374, 1.0, 5, 0.32891046094844184, -1264745.0186555982], 0], [0.8648611903190613, 0.08811968564987183, 0.04701914265751839], 0]"
107,"[[], [[10.0, 0.5597602549548434, 0.03561265008451759, 0.0, 4, 0.49494907943373273, 0.017457334298625653], 0], [], [0.05628668889403343, 0.37475788593292236, 0.5689554214477539], 0]"
108,"[[], [[15.0, 0.27078835863412637, 0.06901663000884121, 1.0, 13, 0.17500400291768223, 0.009218960320726425], 0], [[15.0, 0.39804219330236656, 0.06586579055380107, 0.0, 0, 0.30043974677447555, 0.021732357285030028], 0], [0.17623944580554962, 0.7209663987159729, 0.10279413312673569], 0]"
109,"[[[21.0, 0.4025756144354949, 0.02154532309865117, 7.0, 23, 0.3661776364715818, 0.004592721078630992], 0], [], [], [0.4959070682525635, 0.3997580409049988, 0.10433488339185715], 0]"
110,"[[[11.0, 0.42900503872938756, 0.01422818740763653, 4.0, 14, 0.37443654697304213, 0.0024635005221961045], 0], [], [[11.0, 0.47997930806729433, 0.04392282390846112, 0.0, 8, 0.3189900315615137, -312522.67220002366], 1], [0.7736012935638428, 0.15028169751167297, 0.07611703872680664], 0]"
111,"[[], [[15.0, 0.35361399874080074, 0.14957997516856306, 1.0, 9, 0.21980412748475198, -356873.71614996094], 1], [], [0.0718972459435463, 0.2731865644454956, 0.6549162268638611], 0]"
112,"[[], [[16.0, 0.3435658676647447, 0.09228526597004781, 0.0, 0, 0.23903513711991856, 0.015997885257153954], 0], [], [0.24938900768756866, 0.64840167760849, 0.10220933705568314], 0]"
113,"[[], [[12.0, 0.5351013395044275, 0.04933940526276632, 0.0, 0, 0.46758256094932327, 0.015004955761397092], 0], [], [0.5766996145248413, 0.1669875681400299, 0.2563128173351288], 0]"
114,"[[], [], [], [0.5782597661018372, 0.2868254780769348, 0.13491472601890564], 0]"
115,"[[], [], [], [0.05664416402578354, 0.31320416927337646, 0.6301516890525818], 0]"
116,"[[[17.0, 0.4688672292753995, 0.012352845930554843, 0.0, 18, 0.414811786223266, 0.003137186460773085], 0], [[17.0, 0.6233863597499331, 0.013701376716566403, 0.0, 0, 0.5194080853111284, 0.003359329559052532], 0], [], [0.6004630923271179, 0.30540144443511963, 0.09413544088602066], 0]"
117,"[[[16.0, 0.2956926868014967, 0.03726426848781633, 2.0, 22, 0.15967109017092754, 0.003842690780783782], 0], [], [], [0.17198921740055084, 0.7258692383766174, 0.10214152932167053], 0]"
118,"[[], [[18.0, 0.4528304763899147, 0.026157714197158503, 5.0, 15, 0.40500465980857964, 0.007212274757336858], 0], [[18.0, 0.32687455981421265, 0.11121403879075033, 3.0, 9, 0.17920113328779944, -385949.070917457], 0], [0.06751666218042374, 0.2998654246330261, 0.6326178908348083], 0]"
119,"[[], [[16.0, 0.6332602343503387, 0.029158106528893127, 0.0, 0, 0.620853392847654, 0.010989110824697442], 0], [], [0.11781378090381622, 0.7757415175437927, 0.10644472390413284], 0]"
120,"[[[25.0, 0.6077901878651767, 0.014327268993349802, 1.0, 11, 0.5480057339339703, 0.00596904266636668], 1], [], [], [0.043298278003931046, 0.3079192042350769, 0.6487825512886047], 0]"
121,"[[[17.0, 0.31529913831839623, 0.05165763188153163, 3.0, 11, 0.15145878206383395, 0.006361902920405577], 1], [], [], [0.22858469188213348, 0.466641902923584, 0.30477339029312134], 0]"
122,"[[[11.0, 0.3316994797211668, 0.031910955689050856, 1.0, 17, 0.19977254865702002, 0.0102793043394149], 0], [[11.0, 0.3767073245893984, 0.07473046383822732, 1.0, 7, 0.2175288379111376, 0.012014605917896165], 0], [[11.0, 0.40017542705721126, 0.09195437730621507, 2.0, 6, 0.25602464737880903, -253464.7388763852], 0], [0.06601804494857788, 0.6403788924217224, 0.2936030626296997], 0]"
123,"[[[17.0, 0.30609768850007596, 0.030293749246858518, 2.0, 18, 0.18357571426525415, 0.004354829496313182], 0], [], [], [0.6152564287185669, 0.2972482144832611, 0.08749537914991379], 0]"
124,"[[[14.0, 0.3276004847431636, 0.03573439302364721, 1.0, 15, 0.22452371039033986, 0.010287390930050625], 1], [], [], [0.17290322482585907, 0.6181899905204773, 0.20890678465366364], 0]"
125,"[[[28.0, 0.30125860758170214, 0.027257896450195808, 4.0, 24, 0.22421436711450474, 0.004425999077217683], 0], [[28.0, 0.3264464603530123, 0.036162540913025426, 3.0, 17, 0.1859066016859803, 0.006459853570525477], 0], [], [0.17967939376831055, 0.4968663156032562, 0.3234542906284332], 0]"
